"","Title","Date","User","Body","Rating","Show"
"53","So biased and amateurish",2019-01-03,"Koochiboo","Bias just drips out of the participants’ mouths with no apparent attempt to conceal it. Most of the podcast people sound like they just got out of high school and thus, do not sound credible. Mara Liason (spelling?) is listenable because of her long experience, but her bias is quite obvious. Please try to present a more balanced discussion. Lose the millennial types. They contribute nothing.",1,"Politics"
"54","Not objective, too casual",2019-01-03,"Jodeshab","When the reporters are so casual it makes them sound more like cable news hosts. Also, to me, political editor Dominick Montenegro sounds happy when good things happen to democrats and resentful when good things happen to republicans.",1,"Politics"
"55","My Go To Politics Podcast",2019-01-03,"EWangsmo","I started listening during the craziness of the 2016 presidential election and have been a loyal listener since then. I enjoy the more informal tone of the podcast (but I also like their radio stories).",5,"Politics"
"56","Garbage",2019-01-08,"latinmemina","Hate speech",1,"Politics"
"57","Shameful bias",2019-01-09,"Robert Tilling","I am a life long listener of NPR and liberal Democrat. The coverage has fully crossed the line into inaccurate liberal Trump-bashing bias. I am so sick and tired of hearing them grasp for “orange man bad” arguments at the expense of talking about actual issues. It is shameful that public money is used to produce this drivel. You are journalists for gods sake act like it. Have some self respect. I don’t care what your opinion is. Tell me the news. I am so sad that NPR has turned into full-on unapologetic fake news. No thank you. Membership canceled.",1,"Politics"
"58","Why would you play Baby Shark with no warning?!",2019-01-10,"CreepyBrian","Seriously, that’s why I’m unsubscribing. This podcast is less interesting than just reading he same information on the NPR website.",3,"Politics"
"59","Review",2019-01-15,"john smithxxx","This is the most liberal biased bull crap I have heard in a while",2,"Politics"
"60","Going down since the election",2019-01-15,"Klaus Van Winkle","Originally came to the podcast to hear in-depth reporting on the election. I found the historical comparisons and knowledge of the contributors reassuring during a crazy news cycle. But recently the podcast has become more jokey and lighthearted. And the contributors seem to be less experienced and more reactionary.",3,"Politics"
"61","Best way to start my day",2019-01-15,"Aqwrdmusings","I mean not recently, because the world is on fire, but if I have to listen to the news while the world is on fire, I'm glad it comes from them.",5,"Politics"
"62","Very Informative & Fun",2019-01-19,"IcarusRex","I love checking in with this podcast on my commute. It’s really informative, balanced, and committed to diversity. 💯",5,"Politics"
"63","Favorite!",2019-01-25,"SeanPBrennan","The NPR Politics podcast is by far my favorite podcast and source of political news. I look forward to every new edition. Thanks to the team for your excellent reporting! Keep it up!",5,"Politics"
"64","The medicine you need, with a spoon full of fun and sugar",2019-01-25,"Otterkit","I’m a real fan of this podcast. It’s a solid, engaging way to keep myself up on events without going crazy.",5,"Politics"
"65","Stick to politics",2019-01-26,"Greytpals","I love the show and have listened for years but I may have to stop. Talking about Zuckerberg allegedly slaughtering a goat made me consider never listening again. Stick to politics- that’s horrifying enough for all of us.",3,"Politics"
"66","Casual discussion style with substance",2019-01-29,"nursenanrn","Great summary of the weekly events in “the weekly round up” and shorter podcasts when something new pops up (which is sometimes daily) to keep you informed. Love the casual discussion style, the panel presents you with both sides of an argument (although the hosts don’t hide their personal views) and I love that the intro every week is different and taken from callers! Give it a listen! There is no excuse not to stay informed and involved!",5,"Politics"
"67","Tamara Keith Makes the Show!!!",2019-01-30,"Wild Olive Shoot","NPR is no longer your father’s Oldsmobile! Tamara leads intelligent, accurate, balanced, and fresh reporting in a fun and amusing fashion. Her innocent sweet charm comforts her fans like a big sister. She’s quick, witty, and just down right fun, but still sports an commanding mezzo tone. NPR definitely has a winner, here that’ll certainly shoot to the top.",5,"Politics"
"68","Like the show, starting to hate the intros",2019-01-31,"Jonashelk","I enjoy the main content of the show, but the intros are getting too long and silly. I appreciate involving you're audience in the show and it started fine, but no the timestamp intros are getting longer and longer, turning into small skits, and it seems to be snowballing fast.",3,"Politics"
"69","Keeps me updated",2019-01-31,"Kjerflena","I live overseas and have sometimes a hard time keeping up with the turn over and ins and outs of the current administration. NPR politics keeps me updated on whatever is going on.",5,"Politics"
