Title,Date,User,Body,Rating
Mostly Great,04/11/2019,qwerty7575,"This is a mostly great podcast, and probably one of the least biased that I’ve heard. However, Rachel Martin is a BIG exception. I find that in every episode she is in, her tone of voice consistently injects unnecessary bias and attitude that detracts from the quality of the show.",4
Pretty good,04/11/2019,Ben47031,"Pretty good news roundup.

A bit too much focus on American politics, given how brief the pod is.",4
Great for news,04/11/2019,LoracEvol,Up First condenses the top stories of the day into 10 minutes or so. It is how I keep up daily on current events.,5
Great until Exxon Mobil started advertising,04/11/2019,Emily Unhappy,"I’ve been tuning into Up First regularly over the past few months and have really valued it for its upbeat, fast-paced, and wide-ranging coverage of the daily news. I have, however, finally decided to unsubscribe due to the now regular advertisements of Exxon Mobil’s carbon capturing technology. I find this quite distasteful. Exxon Mobil has a history of anti-climate change propaganda, and I think this advertisement plays right into their decades-long narrative of climate change denial and misinformation. I am disappointed in NPR for being complicit in the spread of this message and hope that you all will be more considerate in the future when vetting advertisers.",2
Up First,04/11/2019,MHWBF,I listen to this daily. My only problem is that Rachel weighs in too much with what is clearly her opinion. Sometimes it is just a long “hmmmm.” Podcast has great content but Rachel needs to limit her extra sentence here and there.,3
Dependable News,04/11/2019,L. A. Williams,"I depend on Up First for reliable, impartial news to get my day started. It’s nice to be able to have a good, well-rounded glimpse at the day’s news while getting ready in the morning, without having to rely on the TV or wait 40 minutes to get all the stories.",5
Great morning brief,04/12/2019,Old Blue Jay,But why only weekdays?,5
Love it when the hosts personalities come thru,04/12/2019,Mermaid593,"you made my Friday when David Green and Rachel talked about how excited they about an artist visiting the studios, they burst out singing “Call Me Maybe!”. This was before the official start of the show - but it was awesome!!!",5
Favorite Show,04/12/2019,Cliff*3,I listen everyday to get a briefing on what’s going on around the country and the world.,5
Biased,04/01/2019,Horseykathy,"Your news is so anti trump it’s pathetic. Give us news, not anti trump",1
Best way to start the day,04/01/2019,Tucson born and raised,"I appreciate walking out of door in the morning feeling informed but not overwhelmed by the 24 hour news cycle. I can then follow up on interesting stories as the day goes on as the news doesn’t stop there. Rachel Martin, David Greene, and Steve Inskeep are brilliant reporters and they cover a variety of stories beyond our current president which seems to dominate the news outlets.",5
Disappointed lately,04/01/2019,gabspod,"I love NPR. And I’ve listened to up first each morning for years. Lately I’ve been disappointed and I think I’ve finally figured out why. Up First is presenting the top 3 reporting stories of the day. What I want from Up First are the top 3 substance based stories I need to know, not what the news world seems sensational that day.",3
Ignore the Trolls,04/02/2019,Lukejdoyle,"This morning report is unbiased, thought-through and then analyzed. Will some people think of analysis as biased reporting? Yes — but they are incorrect. If you disagree with the analysis, then you need to consider where else you are receiving your news or maybe checking your inherit biases yourself. Listen to a whole week of news here: you’ll discover they are independent.",5
Part of my morning routine,04/03/2019,Taymazz,Up First is a good entry point to events that you might be interested in and a an overview of select stories. This short podcast is now part of my morning routine.,5
Love it!,04/03/2019,MBK1978,Great-and calm- way to check in with the news.,5
Love Up First!,04/03/2019,Haydenws,It’s been an essential part of my morning routine for the past three years. Keep up the good work!,5
Start your day right,04/03/2019,kelsaline,I love NPR and the anchors. It’s not habitual for me to play Up First while I'm getting ready for the day. The news can sometimes be bogged down with too many details but Up First gives it to your straight with no fluff. I like that in my busy life I can get the important updates before I’ve even had my coffee! Thanks NPR.,5
Great summary of things I want to hear about,04/03/2019,reginamrm,This podcast rarely includes a topic I’m not interested in. I like it a lot and want it to be one of the first things I hear when I turn on my NPR One.,5
A Morning Must,04/03/2019,KaySherman,"I listen to Up First every morning. The information shared is concise, applicable, and consumable. This is a really great way to become aware of the top news stories of the day. They are also transparent about their corporate funding partners when news relates to them, which is honest journalism.",5
Quick way to stay up to date,04/03/2019,Poopposhdl,Easy to stay in the loop with major stories. Listen everyday on my commute to work!,5
Not Exactly Neutral - Yet a Decent Summary,04/04/2019,saintpaulieboy26,"Listened consistently for a month, and find it a reasonable summary of key stories. I also grew weary of the hosts' (at times) not-so-subtle snarkiness that seemed to sneak in to some of those stories - so I'm going to be looking for alternatives.",3
Listen every morning!,04/04/2019,lindsay karherine,"I love starting my commute with Up First! It’s quick and straight to the point, and I start my day feeling like I know what the top headlines are without feeling overwhelmed. I also like that there aren’t any “fluff” pieces like on the NPR station. I just want straight news, and that’s Up First gives you!",5
Essential morning round-up,04/05/2019,Syddxo,Nice and neutral. Informative af. 🥰,5
One improvement needed,04/05/2019,Between Quilts,Most of the time this podcast present summaries that touch on as many subjects as can fit in the short amount of time allocated. Perfect.,4
Better than the news,04/05/2019,kalisa mother of dragons,"I have been a Morning Edition/All Things Considered listener for more than 20 years, but in the last two years, the news has become too difficult to listen to. So I have the Up First podcast every morning to give me the news I need...without the anxiety.",5
Best quick news podcast,04/06/2019,Gaby from VeggieWorldRecipes,My absolute favorite way to get the news every morning. This team is so darn hardworking they’re up in the middle of the night every night doing amazing reporting so we can get the latest news when we wake up. Even on holidays they come through. Not to mention all of the hosts are great!,5
Quick Summary of National Headlines,04/06/2019,Djuknow,"Great for getting a download on major nation headlines first thing in the morning on the way to work. I find it irritating the clear bias some of the commentators have while reporting. Specifically about the President. Give the facts, the good and the bad, instead of phrasing things in such a way of ""what could he possibly be thinking?"" Or a ""here he goes again"".. sort of reporting. I'm not pro or against, I want to know what is working, what is not, and why.",4
Fantastic!,04/07/2019,pppotter,"NPR’s Up first is fantastic. I no longer live in the US, so it’s great to catch up on some important news to keep a hang on things going in the states and around the world. The content is well edited and engaging.",5
Biased,04/08/2019,mikeamychris,For an organization that receives tax revenue this program should not be biased. NPR shows their left leaning bias on every program.,1
I enjoy listening,03/26/2019,Nicki4713,🗣I love this podcast. It’s brief and it gets to the point of what’s going on in the US and internationally. I rather listen to this instead of watching the news 😂,5
"Apparent Bias, but 13 minutes is nice",03/26/2019,Grove D,"I like the time of the podcast. I also like the stories that are delivered by other reporters throughout the episode.
NPR is another example of mainstream media that politically spins stories to fit a narrative.",2
Best way to start my morning commute,03/27/2019,HsuInLosFeliz,It’s the best way to start this news junkie day.,5
Great podcast!,03/27/2019,GZ1226,"This is a great quick overview of the news, perfect to listen to first thing in the morning. I listen every day!",5
White House radio?,03/27/2019,Josh R.,"It seems like even when trump clearly lies folks here, run with White House’s narrative...suckers or just payed off?",3
5 Stars,03/27/2019,mcclaneag18,Always look forward to the quick recap to start my day!,5
Smh. Haters gonna hate.,03/27/2019,tcb850,"If fear mongering ain’t your thing and you genuinely wish to catch up on recent events, I can’t endorse it enough. Always intelligent and thoughtful.",5
"Succinct, unbiased, high quality",03/27/2019,Juseniah,"I listen to this podcast daily. It’s perfect because it covers just the right amount of news for my commute in the morning. The hourly NPR News Now is also good, but only 5 minutes— so it doesn’t really cover enough. The quality of reporting and production are outstanding.",5
No better way to start the day,03/27/2019,isa.kah,"I’ve been truly obsessed with up first since a friend suggested the NPR One app several months ago. The hosts are so intelligent and pointed, and I love the setup of how they curate a few of the main headlines and then delve into them a bit more. Perfect for a morning commute or breakfast listening-session.",5
Perfect Way to Start the Day,03/27/2019,CarrieWeiss,"The perfect length to feel solidly informed yet not overwhelmed, factual and transparent reporting, what's not to love!",5
Bias news coverage,03/27/2019,keepin it hunnit,Can someone explain to me WHY NPR is so bias on the Palestinian Israeli conflict?,1
Hasn’t worked in 3 days,03/28/2019,g00lis,For the last 3 days it says “this episode is temporarily unavailable” and won’t play it,1
Excellent!,03/28/2019,buyoriginal,I really enjoy up first. They do a great job summarizing the big news items every morning.,5
Love it!,03/28/2019,bahareh12idol,I listen to Up first every morning and I love it! It provides a great way for me to learn about what’s going on around the world and why it’s happening. Thank you for a wonderful and informative podcast!,5
Finally Got It,03/28/2019,Jaceyj0,I don’t have any form of social media so I really like having this to break down current issues in a compiled way. It’s perfect to listen to while I do my makeup or clean my room. Love NPR,5
Quick and informative,03/28/2019,GirlyGrace,Great news recap when you can’t listen to the radio.,5
Marginal News Program,03/29/2019,amsankey,"Many of the people on this show are trying to do fair, unbiased news. However, the co-host Rachel Martin does not. I listened for quite awhile (more than a year) but finally had to move on rather than listen to Rachel anymore.",2
Hannah Honea,03/30/2019,petty kitty,I’m with you,3
Listen every day,03/31/2019,g7morgan,Great summary to start my day.,5
