Title,Date,User,Body,Rating
It’s fine,04/17/2019,Ben47031,"It’s okay as a brief American politics roundup. But it’s too biased. It’s called the npr politics podcast, but it’s very evident that all of the hosts are more left leaning. That’s okay, but then just call the pod something more appropriate like the npr politics podcast, left leaning edition (rolls off the tongue). Or feature more input from people who have differing opinions. But it feels disingenuous to call it a general politics pod but then come at every story from one perspective.",3
Pulling the plug!,04/20/2019,long time listener.,Been listening to this show since day one but finally had to pull the plug on it. Just another group of left leaning reporters miss informed and giving bias opinions and half truths.,1
Unbiased Political Coverage with Lovable Hosts,02/05/2019,Alicia Magee,"Where does NPR get all these wonderful people? The hosts of this show are a delight to listen to, and they bring the coverage and analysis you have come to expect from NPR. You can expect a new podcast any time there's new political news, and every Thursday you can enjoy the Weekly Roundup which includes the always entertaining Can't Let It Go.",5
Love it!,02/06/2019,Momma Trim,I can’t wait for each episode to come out! I only wish it were every day. Thanks NPR politics team!,5
BIASED BIASED BIASED!!!,02/06/2019,Joe Sturza,"This is the most biased group of ""journalists"" I have ever listened too. It is blatantly obvious that they have nothing good at all to say about President Trump and his administration. I personally am a Trump fan, but there are both things I like and don't like about him; just as there are things I like and don't like about his opposition. I am not by any means a journalist and don't get upset easily, but this is absolutely ridiculous. I subscribed to this podcast to obtain unbiased political news and updates, but all I am getting is the much UNWANTED OPINIONS of a group of salty Trump opposers. To say that Trump even hinted (in his State of the Union speech on 2/5/2019) towards having the opinion that immigration is bad for or hurting this country is such a flat out lie. These people obviously can't distinguish the difference between the terms “ILLEGAL immigration” and “LEGAL immigration”. He specifically stated (not in so many words, but) that he is very supportive of LEGAL immigration, and that he is very much so (obviously) against ILLEGAL immigration. Not once did touch on his opinion towards immigration, because Trump (like the rest of us that don't have our heads up our you know whats, or like those that can actually put there salty feeling towards Trump aside [you know the sore-loser feelings because they lost the election] and recognize/do what is right for the country) can actually distinguish the difference between ILLEGAL and LEGAL immigration. That is just one example, but this group of “journalists” is exactly what is wrong with journalism, and why Americans like myself are losing faith in journalism.",1
It’s politics! For kids!!!,02/11/2019,Espnfsbysdth,"I really do want to like this show. I have been a listener since mid 2016, but they are doing a disservice to their listeners. There is an active refusal by the hosts to ever state a fact portraying republicans in a negative light without also saying something negative about democrats. It is the ignorance of a group of people who are clearly unaffected by politics and see it more as a hobby to be laughed about than something serious. Sometimes there truly is a right and a wrong but you won’t learn about it here.",1
Great coverage,02/12/2019,Radishcake,Love it guys! You are great at giving me a good précis of the days at hand. I only wish the shows were a bit longer!,5
I'd be incomplete without you guys.,02/18/2019,Maaz Hussaini,I started to listen to this show at the tail end of the 2016 presidential election. I really enjoy your coverage of the week's news in U.S. politics. It's informative and entertaining. Keep up the good work.,5
2020 Update,02/19/2019,Mav / black P,"Excellent dialogue. Keeping it fun, well done.",5
"Just like 2016, another cycle of Bernie Bashing",02/20/2019,ET424,"Another election cycle, another chance for NPR as a whole and this podcast to slam Bernie as much as possible. They breeze right over criticism of other major Dem candidates. Not surprised they’d go this route yet again...",1
How about some journalism?,02/21/2019,MI RAISED,Try for once to leave your liberal bias at home when you come to work.,2
Totally biased!,02/27/2019,Jackie Wigner,"I happen to fully agree with your posting Justin. I have been a long time listener and there seems to be a drastic change in the way that NPR has been for the past few years, reporting the news. I would like their personal motivation to stay out of the news and just report the facts.",1
A weekly must,03/04/2019,2Kville,"The world is exhausting, but the NPR politics team helps me keep up with everything. Thanks for all the great work!",5
Informative and impartial,03/05/2019,sn0flaker,"A great podcast that is always unbiased with exceptional work from a few journalists like Aisha rascoe, Mara liasson, Scott Detrow and more!",5
Love these people!,03/05/2019,Belle03gal,"What a great podcast to help you understand all of the things going on in our country. The cast does a great job engaging the listeners, providing great content, and it’s also fun.",5
Boring juvenile blather,03/10/2019,dinosaur brain,Some folks must like it?,2
Biased towards the Gates Foundation Interests,03/11/2019,Nina8625,"The Gates Foundation’s highly strategic moves in philanthropy can be seen in NPR’s coverage of the upcoming primary coverage. The last live episode, in Atlanta, gave Bernie Sanders little to no coverages of all democratic presidential contenders. NPR lost my support and subscription. As one of the most popular candidates you think, they would give him more coverage than Andrew Yang.",1
Critical thinking?,03/15/2019,Optimist runner,Insightful commentry on political news. Would be more insightful if it a bit less of a liberal lean. And the informal style gets tiresome sometimes: stick to the topics.,3
Ageist views,03/20/2019,Shelmel,"I’ve been listening to NPR Politics podcast for years. I’ve been surprised by the journalists open biases before, but this week broke my formerly positive opinion of them into pieces. When speaking about the clear Dem front runner so far, Bernie Sanders, they have literally chuckled, scoffed and belittled their way through every coverage of him. It is maddening. I’m no blind follower if Bernie, I just want to hear his views like everyone else’s. They literally asked him WHY he needs to run at all, when his policies have already made it onto the Democratic agenda. Well, why on earth shouldn’t he run, if he was so successful at getting good ideas out there? If Bernie’s an idiot, why would Warren, Harris, Booker and a plethora of other candidates adopt his views? (And where in the world is the coverage of Andrew Yang?) NPR is really showing their pro-war, pro-corporation bias here. Stop telling us who COULD or COULDN’T win. You screwed that up last election. Just let us decide by hearing the candidates voices, with the SAME fairly posed questions for each candidate. Sheesh.",2
Men over women,03/21/2019,bagkey,"Sometimes the male reporters talk over the females, finishing their sentences, not letting them finish...interrupting to add in. It’s annoying and they shouldn’t do it. Very disrespectful. just saying... but I love the podcast",5
Surprisingly thin,03/23/2019,Danahearn,Sophomoric too!,2
I only have one concern...,03/25/2019,parkour dole,Well I have a few. Complete liberal bias from all of their “journalists”. I wish more of it would look at both sides of the coin rather than one heavy ended side. When you start reporting facts and not bias opinions I will subscribe. Until then it’s a no go.,2
"Personality-driven, very informal ""news-lite""",12/31/2018,Mauimike6,"This is a very informal personality-driven ""news chat"" podcast wherein four or five NPR correspondents meet several times a week to offer up their personal takes on a few high-visibility news items and political issues that dominate the current news cycle. No in-depth analyses here, just quick, off-the-cuff observations about inside-the-Beltway ""hot topics."" Although the format bears some resemblance to a formal round-robin-style discussion overseen by a moderator, the reality has more of a ""newsies gathering at the office cooler"" feel to it: lots of ""me-first"" interruptions, inside joking, and everybody talking at once. On the rare occasion when a more senior correspondent joins the group, or if that day's news cycle includes a lot of ""serious"" topics, actual in-depth analysis and serious discussion may occur. This podcast's ""unscripted content"" is not on the level of PBS's Shields and Brooks podcast. It appeals more to regular NPR listeners who enjoy hearing what their favorite correspondents are like without a script... or adult supervision.",2
Great place to get clued in,01/03/2019,Sra84,"I love this show, the format, the hosts and the information it provides. It’s not the deepest dive, and sometimes i wish there were more context given, but there are other podcasts for that. For an enjoyable recap of whatever’s happening, this is my first stop.",5
